Release,className,LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
5,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,0,547,207,207,194,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,0,547,207,207,196,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,0,547,207,207,180,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,0,547,207,207,196,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,0,547,207,207,192,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,0,547,207,207,185,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,0,547,207,207,175,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,0,547,207,207,187,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0,547,207,207,194,0,0,0,0,254.13655,7120,false
5,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0,547,207,207,196,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0,547,207,207,199,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,0,547,207,207,179,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,0,547,207,207,194,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,0,547,207,207,175,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,0,547,207,207,191,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,0,547,207,207,182,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,0,547,207,207,199,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,0,547,207,207,184,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,0,547,207,207,197,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,0,547,207,207,189,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,0,547,207,207,197,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,0,547,207,207,187,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,0,547,207,207,199,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,0,547,207,207,197,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,0,547,207,207,199,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,0,547,207,207,194,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,0,547,207,207,199,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,0,547,207,207,197,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,0,547,207,207,198,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,0,547,207,207,200,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,0,547,207,207,193,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,0,547,207,207,202,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,0,547,207,207,203,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,0,547,207,207,201,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,0,547,207,207,205,0,0,0,0,254.13655,7120,false
5,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,0,547,207,207,204,0,0,0,0,254.13655,7120,false
5,00	bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java	bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,134,547,56,56,55,0,3,27,268,254.13655,7120,false
5,00	bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java	bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,327,547,56,56,55,0,3,27,654,254.13655,7120,false
5,00	bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java	bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,299,547,56,56,55,0,3,27,598,254.13655,7120,false
